PlayerName,Number_Identifier,Hall.Of.Famer,save_percentage,goalie_wins,X100..Wins,X350..Wins,goalie_losses,goals_against_average,goalie_games_played,Top15Pick,Cluster
Corey Crawford,429,0,0.918,260,1,0,162,2.45,488,0,2
Pete Peeters,1080,0,0.886,246,1,0,156,3.09,489,0,2
Guy Hebert,875,0,0.909,191,1,0,222,2.82,491,0,2
Jeff Hackett,865,0,0.902,166,1,0,244,2.9,500,0,2
Reggie Lemelin,1138,0,0.884,236,1,0,161,3.46,506,0,2
Martin Biron,652,0,0.91,230,1,0,191,2.61,508,0,2
Braden Holtby,312,0,0.915,299,1,0,143,2.59,513,0,2
Brian Elliott,456,0,0.91,267,1,0,159,2.53,521,0,2
Tommy Salo,720,0,0.905,210,1,0,225,2.55,526,0,2
Ron Tugnutt,891,0,0.895,186,1,0,239,3.05,537,0,2
Devan Dubnyk,396,0,0.914,253,1,0,206,2.61,542,1,2
Jimmy Howard,430,0,0.912,246,1,0,196,2.62,543,0,2
Marty Turco,686,0,0.91,275,1,0,167,2.36,543,0,2
Jaroslav Halak,454,0,0.916,285,1,0,180,2.49,556,0,2
Semyon Varlamov,348,0,0.916,261,1,0,211,2.64,560,0,2
Tuukka Rask,373,0,0.921,308,1,0,165,2.28,564,0,2
Arturs Irbe,832,0,0.899,218,1,0,236,2.83,568,0,2
Ken Wregget,970,0,0.885,225,1,0,248,3.65,575,0,2
Jocelyn Thibault,708,0,0.904,238,1,0,238,2.75,586,1,2
Jean-Sebastien Giguere,651,0,0.913,262,1,0,216,2.53,597,1,2
Greg Millen,1076,0,0.873,215,1,0,284,3.88,604,0,2
Ron Hextall,975,0,0.895,296,1,0,214,2.98,608,0,2
Kirk McLean,936,0,0.887,245,1,0,262,3.26,612,0,2
Miikka Kiprusoff,662,0,0.912,319,1,0,213,2.49,623,0,2
Felix Potvin,799,0,0.905,266,1,0,260,2.76,635,0,2
Bill Ranford,912,0,0.888,240,1,0,279,3.41,647,0,2
Jose Theodore,682,0,0.909,286,1,0,254,2.68,648,0,2
Kari Lehtonen,457,0,0.912,310,1,0,233,2.71,649,1,2
Dan Bouchard,1191,0,0.89,286,1,0,233,3.27,656,0,2
Mike Liut,1088,0,0.883,293,1,0,271,3.49,663,0,2
Don Beaupre,1013,0,0.885,268,1,0,277,3.46,666,0,2
Mike Richter,909,0,0.904,301,1,0,258,2.89,666,0,2
Mike Smith,510,0,0.912,299,1,0,263,2.7,670,0,2
Kelly Hrudey,1014,0,0.893,271,1,0,265,3.43,677,0,2
Billy Smith,1194,1,0.895,305,1,0,233,3.18,679,0,2
Craig Anderson,496,0,0.912,308,1,0,264,2.85,683,0,2
Craig Anderson,563,0,0.912,308,1,0,264,2.85,683,0,2
Pekka Rinne,424,0,0.917,369,1,1,213,2.43,683,0,2
Evgeni Nabokov,699,0,0.911,353,1,1,227,2.44,697,0,2
Tomas Vokoun,700,0,0.917,300,1,0,288,2.56,700,0,2
Cam Ward,458,0,0.908,334,1,0,256,2.74,701,0,2
Jonathan Quick,379,0,0.913,359,1,1,262,2.42,712,0,2
Carey Price,372,0,0.917,361,1,1,261,2.51,712,1,2
Andy Moog,1021,0,0.891,372,1,1,209,3.14,713,0,2
Olaf Kolzig,818,0,0.906,303,1,0,297,2.71,719,0,2
Dominik Hasek,964,1,0.922,389,1,1,223,2.2,735,0,2
Chris Osgood,770,0,0.905,401,1,1,216,2.49,744,0,2
Tom Barrasso,948,0,0.892,369,1,1,277,3.24,777,1,2
Mike Vernon,992,0,0.889,385,1,1,274,3,782,0,2
Gilles Meloche,1196,0,0.885,270,1,0,351,3.65,788,0,2
Ryan Miller,572,0,0.914,391,1,1,289,2.64,796,0,2
Nikolai Khabibulin,760,0,0.907,333,1,0,334,2.72,799,0,2
Sean Burke,906,0,0.902,324,1,0,341,2.96,820,0,2
Grant Fuhr,988,1,0.887,403,1,1,295,3.38,868,1,2
John Vanbiesbrouck,993,0,0.899,374,1,1,346,2.98,882,0,2
Henrik Lundqvist,545,0,0.918,459,1,1,310,2.43,887,0,2
Marc-Andre Fleury,428,0,0.913,520,1,1,299,2.57,939,1,2
Patrick Roy,931,1,0.91,551,1,1,315,2.54,1029,0,2
Roberto Luongo,609,1,0.919,489,1,1,392,2.52,1044,1,2
Martin Brodeur,798,1,0.912,691,1,1,397,2.24,1266,0,2
