Player Name,Number_Identifier,games_played,goals,assists,points,Points.Per.Game,Hall.Of.Famer,X100..Games..Player.,X500..Games..Player.,X1000..Games..Player.,X500..Points,X1000..Points,Top15Pick,Cluster 
Christer Olsson,6392,56,4,12,16,0.285714286,0,0,0,0,0,0,0,1
Kamil Piros,5439,28,4,4,8,0.285714286,0,0,0,0,0,0,0,1
Rob Tudor,9898,28,4,4,8,0.285714286,0,0,0,0,0,0,0,1
Brett Murray,1273,21,2,4,6,0.285714286,0,0,0,0,0,0,0,1
Jim Playfair,8727,21,2,4,6,0.285714286,0,0,0,0,0,0,0,1
Rod Norrish,10653,21,3,3,6,0.285714286,0,0,0,0,0,0,0,1
Jussi Timonen,4379,14,0,4,4,0.285714286,0,0,0,0,0,0,0,1
Sergei Petrenko,6301,14,0,4,4,0.285714286,0,0,0,0,0,0,0,1
Brad Aitken,7839,14,1,3,4,0.285714286,0,0,0,0,0,0,0,1
Chris Kenady,6801,7,0,2,2,0.285714286,0,0,0,0,0,0,0,1
Justin Barron,431,7,1,1,2,0.285714286,0,0,0,0,0,0,0,1
Riley Damiani,925,7,1,1,2,0.285714286,0,0,0,0,0,0,0,1
David McIntyre,3195,7,1,1,2,0.285714286,0,0,0,0,0,0,0,1
Bobby Reynolds,8198,7,1,1,2,0.285714286,0,0,0,0,0,0,0,1
Paul Cotter,905,7,2,0,2,0.285714286,0,0,0,0,0,0,0,1
Alex Grant,2995,7,2,0,2,0.285714286,0,0,0,0,0,0,0,1
Dave Donnelly,8967,137,15,24,39,0.284671533,0,1,0,0,0,0,0,1
Marc Crawford,9194,176,19,31,50,0.284090909,0,1,0,0,0,0,0,1
Derek Laxdal,8395,67,12,7,19,0.28358209,0,0,0,0,0,0,0,1
Ari Haanpaa,8334,60,6,11,17,0.283333333,0,0,0,0,0,0,0,1
Radovan Somik,5777,113,12,20,32,0.283185841,0,1,0,0,0,0,0,1
Daniel Goneau,5516,53,12,3,15,0.283018868,0,0,0,0,0,0,0,1
Daniel Goneau,5937,53,12,3,15,0.283018868,0,0,0,0,0,0,0,1
Petr Prajsler,8109,46,3,10,13,0.282608696,0,0,0,0,0,0,0,1
Norm Barnes,10455,156,6,38,44,0.282051282,0,1,0,0,0,0,0,1
Ted Nolan,9510,78,6,16,22,0.282051282,0,0,0,0,0,0,0,1
Pavel Brendl,4770,78,11,11,22,0.282051282,0,0,0,0,0,0,1,1
Krys Kolanos,4522,149,20,22,42,0.281879195,0,1,0,0,0,0,0,1
Kevin Stenlund,1431,71,11,9,20,0.281690141,0,0,0,0,0,0,0,1
Pavel Patera,5147,32,2,7,9,0.28125,0,0,0,0,0,0,0,1
Noah Gregor,1284,121,16,18,34,0.280991736,0,1,0,0,0,0,0,1
Yakov Trenin,1428,146,24,17,41,0.280821918,0,1,0,0,0,0,0,1
Don O'Donoghue,10870,125,18,17,35,0.28,0,1,0,0,0,0,0,1
Oliver Kylington,1433,168,14,33,47,0.279761905,0,1,0,0,0,0,0,1
Carl Grundstrom,1236,129,20,16,36,0.279069767,0,1,0,0,0,0,0,1
Andrew Hutchinson,4815,140,12,27,39,0.278571429,0,1,0,0,0,0,0,1
Michal Repik,2925,72,9,11,20,0.277777778,0,0,0,0,0,0,0,1
Greg Mauldin,4165,36,5,5,10,0.277777778,0,0,0,0,0,0,0,1
Tommy Lehman,8923,36,5,5,10,0.277777778,0,0,0,0,0,0,0,1
Alexander Vasyunov,3129,18,1,4,5,0.277777778,0,0,0,0,0,0,0,1
Denny Felsner,7157,18,1,4,5,0.277777778,0,0,0,0,0,0,0,1
Brett Maclean,2918,18,2,3,5,0.277777778,0,0,0,0,0,0,0,1
Patrice Tardif,6926,65,7,11,18,0.276923077,0,0,0,0,0,0,0,1
Don McSween,8627,47,3,10,13,0.276595745,0,0,0,0,0,0,0,1
Tim Heed,2441,105,6,23,29,0.276190476,0,1,0,0,0,0,0,1
Dante Fabbro,1199,174,11,37,48,0.275862069,0,1,0,0,0,0,0,1
Kale Clague,1232,58,2,14,16,0.275862069,0,0,0,0,0,0,0,1
Benoit Gratton,5782,58,6,10,16,0.275862069,0,0,0,0,0,0,0,1
Jayce Hawryluk,1594,98,12,15,27,0.275510204,0,0,0,0,0,0,0,1
Miloslav Horava,9098,80,5,17,22,0.275,0,0,0,0,0,0,0,1
Peter Cehlarik,1834,40,5,6,11,0.275,0,0,0,0,0,0,0,1
Gemel Smith,2034,91,12,13,25,0.274725275,0,0,0,0,0,0,0,1
Brendan Bell,4309,102,7,21,28,0.274509804,0,1,0,0,0,0,0,1
Evgeny Svechnikov,1394,113,12,19,31,0.274336283,0,1,0,0,0,0,0,1
Mitch Lamoureux,9078,73,11,9,20,0.273972603,0,0,0,0,0,0,0,1
Ryan Sproul,2180,44,2,10,12,0.272727273,0,0,0,0,0,0,0,1
Aliaksei Protas,686,33,3,6,9,0.272727273,0,0,0,0,0,0,0,1
Sylvain Couturier,7855,33,4,5,9,0.272727273,0,0,0,0,0,0,0,1
Zachary Jones,666,22,0,6,6,0.272727273,0,0,0,0,0,0,0,1
Bob Attwell,9417,22,1,5,6,0.272727273,0,0,0,0,0,0,0,1
Nicolas Beaudin,825,22,2,4,6,0.272727273,0,0,0,0,0,0,0,1
Tom Koivisto,4214,22,2,4,6,0.272727273,0,0,0,0,0,0,0,1
Ralph Intranuovo,6492,22,2,4,6,0.272727273,0,0,0,0,0,0,0,1
David Laliberte,3585,11,2,1,3,0.272727273,0,0,0,0,0,0,0,1
Ted McAneeley,10783,158,8,35,43,0.272151899,0,1,0,0,0,0,0,1
Pat Graham,9235,103,11,17,28,0.27184466,0,1,0,0,0,0,0,1
John Smrke,9832,103,11,17,28,0.27184466,0,1,0,0,0,0,0,1
Jim Fahey,5200,92,1,24,25,0.27173913,0,0,0,0,0,0,0,1
George Pesut,10363,92,3,22,25,0.27173913,0,0,0,0,0,0,0,1
Ryan McLeod,837,81,9,13,22,0.271604938,0,0,0,0,0,0,0,1
Guy Larose,8230,70,10,9,19,0.271428571,0,0,0,0,0,0,0,1
Joel Perrault,4370,96,12,14,26,0.270833333,0,0,0,0,0,0,0,1
Simon Gamache,4763,48,6,7,13,0.270833333,0,0,0,0,0,0,0,1
Sam Carrick,2451,111,15,15,30,0.27027027,0,1,0,0,0,0,0,1
Eric Meloche,5637,74,9,11,20,0.27027027,0,0,0,0,0,0,0,1
Bubba Berenzweig,5571,37,3,7,10,0.27027027,0,0,0,0,0,0,0,1
Jiri Novotny,4270,189,20,31,51,0.26984127,0,1,0,0,0,0,0,1
Roman Simicek,4749,63,7,10,17,0.26984127,0,0,0,0,0,0,0,1
Eetu Luostarinen,1027,130,12,23,35,0.269230769,0,1,0,0,0,0,0,1
Chris Nielsen,5042,52,6,8,14,0.269230769,0,0,0,0,0,0,0,1
Tom Cassidy,10518,26,3,4,7,0.269230769,0,0,0,0,0,0,0,1
Ron Plumb,10748,26,3,4,7,0.269230769,0,0,0,0,0,0,1,1
Jean-Marc Gaulin,8990,26,4,3,7,0.269230769,0,0,0,0,0,0,0,1
Mark Vermette,7921,67,5,13,18,0.268656716,0,0,0,0,0,0,0,1
Jeremy Morin,2553,82,10,12,22,0.268292683,0,0,0,0,0,0,0,1
Erik Brannstrom,1001,116,2,29,31,0.267241379,0,1,0,0,0,0,1,1
Roger Johansson,8096,161,9,34,43,0.267080745,0,1,0,0,0,0,0,1
