Player Name,Number_Identifier,games_played,goals,assists,points,Points.Per.Game,Hall.Of.Famer,X100..Games..Player.,X500..Games..Player.,X1000..Games..Player.,X500..Points,X1000..Points,Top15Pick,Cluster
Alan Kerr,8786,391,72,94,166,0.42455243,0,1,0,0,0,0,0,4
Ivan Barbashev,1595,351,68,81,149,0.424501425,0,1,0,0,0,0,0,4
Samuel Girard,1229,340,22,122,144,0.423529412,0,1,0,0,0,0,0,4
Hnat Domenichelli,5972,267,52,61,113,0.423220974,0,1,0,0,0,0,0,4
Sami Vatanen,2607,473,47,153,200,0.422832981,0,1,0,0,0,0,0,4
Joel Eriksson Ek,1395,343,69,76,145,0.422740525,0,1,0,0,0,0,0,4
Samuel Bennett,1566,483,101,103,204,0.422360248,0,1,0,0,0,0,1,4
Ivan Provorov,1382,450,59,131,190,0.422222222,0,1,0,0,0,0,1,4
Hartland Monahan,10672,334,61,80,141,0.422155689,0,1,0,0,0,0,0,4
Ryan Pulock,1766,346,38,108,146,0.421965318,0,1,0,0,0,0,1,4
Petr Prucha,4202,346,78,68,146,0.421965318,0,1,0,0,0,0,0,4
Brad Shaw,8788,377,22,137,159,0.421750663,0,1,0,0,0,0,0,4
Oleg Saprykin,4776,325,55,82,137,0.421538462,0,1,0,0,0,0,1,4
Jakob Chychrun,1198,337,53,89,142,0.421364985,0,1,0,0,0,0,0,4
Erik Christensen,4053,387,68,95,163,0.42118863,0,1,0,0,0,0,0,4
Brett McLean,5466,385,56,106,162,0.420779221,0,1,0,0,0,0,0,4
David Oliver,6771,233,49,49,98,0.420600858,0,1,0,0,0,0,0,4
Michal Grosek,6281,526,84,137,221,0.420152091,0,1,1,0,0,0,0,4
Calle Jarnkrok,2368,574,106,135,241,0.419860627,0,1,1,0,0,0,0,4
Lee Norwood,9376,503,58,153,211,0.419483101,0,1,1,0,0,0,0,4
Andrew Copp,1846,483,82,120,202,0.418219462,0,1,0,0,0,0,0,4
Alexei Kasatonov,8692,383,38,122,160,0.417754569,0,1,0,0,0,0,0,4
Viacheslav Fetisov,8618,546,36,192,228,0.417582418,1,1,1,0,0,0,0,4
Viacheslav Fetisov,9616,546,36,192,228,0.417582418,1,1,1,0,0,0,0,4
Dixon Ward,7454,537,95,129,224,0.417132216,0,1,1,0,0,0,0,4
Jim Sandlak,8031,549,110,119,229,0.41712204,0,1,1,0,0,0,1,4
Don Kozak,10516,437,96,86,182,0.416475973,0,1,0,0,0,0,0,4
J.T. Compher,1786,341,71,71,142,0.416422287,0,1,0,0,0,0,0,4
Blake Coleman,2198,382,87,72,159,0.416230366,0,1,0,0,0,0,0,4
Bob Beers,8217,258,28,79,107,0.414728682,0,1,0,0,0,0,0,4
Will Butcher,1863,275,16,98,114,0.414545455,0,1,0,0,0,0,0,4
Colton Parayko,2017,498,47,159,206,0.413654618,0,1,0,0,0,0,0,4
David Jones,3989,462,104,87,191,0.413419913,0,1,0,0,0,0,0,4
Patrik Stefan,4767,455,64,124,188,0.413186813,0,1,0,0,0,0,1,4
Dave McLlwain,7957,501,100,107,207,0.413173653,0,1,1,0,0,0,0,4
Paul Cavallini,8447,564,56,177,233,0.413120567,0,1,1,0,0,0,0,4
Henry Boucha,10648,247,53,49,102,0.412955466,0,1,0,0,0,0,0,4
Oscar Klefbom,2147,378,34,122,156,0.412698413,0,1,0,0,0,0,0,4
Vladimir Orszagh,5783,289,54,65,119,0.411764706,0,1,0,0,0,0,0,4
Jordan Greenway,1423,272,36,76,112,0.411764706,0,1,0,0,0,0,0,4
Gord Kluzak,8708,299,25,98,123,0.411371237,0,1,0,0,0,0,1,4
Brad Isbister,5749,541,106,116,222,0.410351201,0,1,1,0,0,0,0,4
Vincent Hinostroza,2092,334,51,86,137,0.410179641,0,1,0,0,0,0,0,4
Jaccob Slavin,2049,508,36,172,208,0.409448819,0,1,1,0,0,0,0,4
Larry Goodenough,10359,242,22,77,99,0.409090909,0,1,0,0,0,0,0,4
Glenn Goldup,10356,291,52,67,119,0.408934708,0,1,0,0,0,0,0,4
Rob Pearson,7119,269,56,54,110,0.408921933,0,1,0,0,0,0,1,4
Tyler Kennedy,3560,527,89,126,215,0.407969639,0,1,1,0,0,0,0,4
Andreas Dackell,5596,613,91,159,250,0.407830343,0,1,1,0,0,0,0,4
Jack Brownschidle,10016,494,39,162,201,0.406882591,0,1,0,0,0,0,0,4
Damon Severson,1997,566,51,179,230,0.406360424,0,1,1,0,0,0,0,4
Patric Kjellberg,7412,394,64,96,160,0.406091371,0,1,0,0,0,0,0,4
Mark Bell,5016,450,87,95,182,0.404444444,0,1,0,0,0,0,1,4
Bruce Crowder,9781,243,47,51,98,0.403292181,0,1,0,0,0,0,0,4
Brian Spencer,10894,553,80,143,223,0.403254973,0,1,1,0,0,0,0,4
Vince Dunn,1429,340,39,98,137,0.402941176,0,1,0,0,0,0,0,4
Chris Tierney,1992,561,73,153,226,0.40285205,0,1,1,0,0,0,0,4
Darnell Nurse,1758,477,54,138,192,0.402515723,0,1,0,0,0,0,1,4
Jim Benning,8947,605,52,191,243,0.401652893,0,1,1,0,0,0,1,4
Micheal Ferland,2442,335,60,74,134,0.4,0,1,0,0,0,0,0,4
