PlayerName,Number_Identifier,Hall.Of.Famer,save_percentage,goalie_wins,X100..Wins,X350..Wins,goalie_losses,goals_against_average,goalie_games_played,Top15Pick,Cluster
Wendell Young,994,0,0.876,59,0,0,86,3.94,187,0,3
Robert Esche,639,0,0.899,78,0,0,64,2.75,186,0,3
Joonas Korpisalo,222,0,0.902,76,0,0,67,3.04,182,0,3
Al Jensen,1040,0,0.88,95,0,0,53,3.36,179,0,3
Richard Sevigny,1079,0,0.884,80,0,0,54,3.21,176,0,3
Pete LoPresti,1127,0,0.872,43,0,0,102,4.07,175,0,3
Jeff Reese,933,0,0.879,53,0,0,65,3.66,174,0,3
Pascal Leclaire,490,0,0.904,61,0,0,76,2.89,173,1,3
Jim Carey,744,0,0.898,79,0,0,65,2.58,172,0,3
Mikko Koskinen,282,0,0.906,85,0,0,60,3.01,168,0,3
Al Montoya,395,0,0.908,67,0,0,49,2.65,168,1,3
Jordan Binnington,247,0,0.911,90,0,0,46,2.58,162,0,3
Anders Nilsson,284,0,0.907,59,0,0,74,3.06,161,0,3
Tristan Jarry,198,0,0.915,93,0,0,47,2.57,159,0,3
Karri Ramo,413,0,0.906,60,0,0,63,2.85,159,0,3
Linus Ullmark,234,0,0.913,76,0,0,57,2.69,158,0,3
Pelle Lindbergh,1031,0,0.887,87,0,0,49,3.31,157,0,3
