PlayerName,Number_Identifier,Hall.Of.Famer,save_percentage,goalie_wins,X100..Wins,X350..Wins,goalie_losses,goals_against_average,goalie_games_played,Top15Pick,Cluster
Jeff Zatkoff,353,0,0.908,18,0,0,21,2.72,48,0,1
Steve Baker,1066,0,0.872,20,0,0,20,3.71,57,0,1
Zac Bierk,674,0,0.901,9,0,0,20,3.18,47,0,1
Marc Behrend,997,0,0.848,12,0,0,19,4.92,39,0,1
Anthony Stolarz,221,0,0.915,22,0,0,18,2.73,62,0,1
Richard Bachman,360,0,0.903,20,0,0,18,2.97,48,0,1
John Blue,902,0,0.89,16,0,0,18,3,46,0,1
Garret Sparks,259,0,0.899,15,0,0,18,3.05,40,0,1
Gilles Gratton,1169,0,0.866,13,0,0,18,4.03,47,0,1
Jeremy Swayman,124,0,0.92,30,0,0,17,2.23,51,0,1
Mario Brunetta,922,0,0.871,12,0,0,17,3.92,40,0,1
Marcus Hogberg,203,0,0.894,9,0,0,17,3.39,42,0,1
Mike McKenna,479,0,0.89,7,0,0,17,3.6,35,0,1
Jason Bacashihua,492,0,0.897,7,0,0,17,3.19,38,0,1
Matt Hackett,286,0,0.906,4,0,0,17,3.11,26,0,1
Tyler Moss,709,0,0.891,6,0,0,16,3.25,30,0,1
Joni Ortio,300,0,0.901,15,0,0,15,2.66,37,0,1
Jon Gillies,224,0,0.893,7,0,0,15,3.31,32,0,1
Mike Bales,805,0,0.869,2,0,0,15,4.13,23,0,1
Steve Valiquette,647,0,0.905,16,0,0,14,2.74,46,0,1
Philippe Sauve,588,0,0.888,10,0,0,14,3.45,32,0,1
Sebastien Charpentier,661,0,0.902,6,0,0,14,2.93,26,0,1
Ville Husso,184,0,0.912,34,0,0,13,2.74,57,0,1
Filip Gustavsson,136,0,0.905,10,0,0,13,3.12,27,0,1
Jonas Johansson,181,0,0.882,9,0,0,13,3.46,32,0,1
Marek Mazanec,236,0,0.895,8,0,0,13,2.98,31,0,1
Martin Prusek,575,0,0.909,31,0,0,12,2.36,57,0,1
Jean-Francois Berube,289,0,0.898,12,0,0,12,3.51,40,0,1
Nick Ricci,1037,0,0.857,7,0,0,12,4.39,19,0,1
Joaquin Gage,750,0,0.87,4,0,0,12,3.74,23,0,1
Scott Fankhouser,706,0,0.894,4,0,0,12,3.25,23,0,1
Scott Langkow,710,0,0.857,3,0,0,12,4.32,20,0,1
Derek Wilkinson,753,0,0.874,3,0,0,12,3.67,22,0,1
Nicolas Daws,47,0,0.893,10,0,0,11,3.11,25,0,1
Larry Lozinski,1062,0,0.858,6,0,0,11,4.29,30,0,1
Terry Richardson,1153,0,0.818,3,0,0,11,5.64,20,1,1
John Tanner,822,0,0.883,2,0,0,11,3.6,21,0,1
Dieter Kochan,715,0,0.862,1,0,0,11,3.96,21,0,1
Darren Jensen,1017,0,0.879,15,0,0,10,3.82,30,0,1
Eric Comrie,200,0,0.905,13,0,0,10,3.06,28,0,1
Jim Craig,1071,0,0.857,11,0,0,10,3.78,30,0,1
Rollie Boutin,1077,0,0.871,7,0,0,10,3.96,22,0,1
Adam Munro,493,0,0.887,4,0,0,10,3.3,17,0,1
Marcel Cousineau,771,0,0.9,4,0,0,10,2.93,26,0,1
Cayden Primeau,133,0,0.874,3,0,0,10,4.21,18,0,1
Spencer Knight,62,0,0.909,23,0,0,9,2.74,36,1,1
Daryl Reaugh,930,0,0.885,8,0,0,9,3.47,27,0,1
Reinhard Divis,552,0,0.88,6,0,0,9,3.32,28,0,1
David LeNeveu,463,0,0.887,5,0,0,9,3.43,22,0,1
Gord Laxton,1101,0,0.83,4,0,0,9,5.56,17,1,1
Daniel Vladar,155,0,0.902,15,0,0,8,2.88,28,0,1
Frederic Chabot,900,0,0.894,4,0,0,8,2.96,32,0,1
Ukko-Pekka Luukkonen,114,0,0.913,3,0,0,8,3.08,13,0,1
Joey Daccord,172,0,0.878,1,0,0,8,3.81,14,0,1
Mike Morrison,603,0,0.871,11,0,0,7,3.28,29,0,1
Michael Garnett,497,0,0.885,10,0,0,7,3.44,24,0,1
Jim Pettie,1160,0,0.855,9,0,0,7,3.68,21,0,1
Cam Newton,1199,0,0.876,4,0,0,7,3.77,16,0,1
Jeff Glass,401,0,0.898,3,0,0,7,3.36,15,0,1
Sergei Mylnikov,830,0,0.857,1,0,0,7,4.97,10,0,1
Mike Moffat,1025,0,0.826,7,0,0,6,4.38,18,0,1
Rick Knickle,1039,0,0.879,7,0,0,6,3.74,14,0,1
Stuart Skinner,117,0,0.909,7,0,0,6,2.8,14,0,1
Scott Bailey,751,0,0.876,6,0,0,6,3.42,19,0,1
Harri Sateri,313,0,0.895,6,0,0,6,3.41,15,0,1
Frederic Cassivi,694,0,0.892,3,0,0,6,3.64,13,0,1
Patrick DesRochers,586,0,0.872,2,0,0,6,3.66,11,1,1
Mike Fountain,745,0,0.88,2,0,0,6,3.49,11,0,1
Maxime Ouellet,557,0,0.903,2,0,0,6,3.08,12,0,1
Jeremy Smith,329,0,0.888,1,0,0,6,3.54,10,0,1
Christopher Gibson,244,0,0.901,4,0,0,5,3.33,16,0,1
Matt DelGuidice,869,0,0.886,2,0,0,5,3.87,11,0,1
Darrell May,1016,0,0.839,1,0,0,5,5.14,6,0,1
Danny Lorenz,844,0,0.856,1,0,0,5,4.2,8,0,1
Mike Sands,989,0,0.864,0,0,0,5,5.18,6,0,1
Erik Kallgren,168,0,0.888,8,0,0,4,3.31,14,0,1
Norm Foster,967,0,0.872,7,0,0,4,3.27,13,0,1
Andy Chiodo,448,0,0.892,3,0,0,4,3.46,8,0,1
Andy Chiodo,511,0,0.892,3,0,0,4,3.46,8,0,1
Leland Irving,349,0,0.902,3,0,0,4,3.25,13,0,1
Adam Berkhoel,550,0,0.882,2,0,0,4,3.8,9,0,1
Barry Brust,465,0,0.878,2,0,0,4,3.7,11,0,1
David Goverde,802,0,0.808,1,0,0,4,6.25,5,0,1
Justin Pogge,402,0,0.844,1,0,0,4,4.36,7,0,1
Jean-Marc Pelletier,612,0,0.857,1,0,0,4,3.9,7,0,1
Nathan Lieuwen,254,0,0.906,1,0,0,4,2.97,7,0,1
Akira Schmid,93,0,0.833,0,0,0,4,4.83,6,0,1
Vitali Yeremeyev,693,0,0.846,0,0,0,4,4.52,4,0,1
Jan Lasak,561,0,0.874,0,0,0,4,4.04,6,0,1
Zane Gothberg,275,0,0.858,0,0,0,4,3.97,8,0,1
Felix Sandstrom,154,0,0.91,0,0,0,4,3.23,5,0,1
Ken Ellacott,1032,0,0.867,2,0,0,3,4.47,12,0,1
Tobias Stephan,461,0,0.883,1,0,0,3,3.49,11,0,1
Matthew Yeats,608,0,0.908,1,0,0,3,3.03,5,0,1
Jean-Francois Damphousse,611,0,0.896,1,0,0,3,2.45,6,0,1
Ryan Bach,766,0,0.879,0,0,0,3,4.45,3,0,1
Yutaka Fukufuji,423,0,0.837,0,0,0,3,4.37,4,0,1
Ivan Prosvetov,91,0,0.858,0,0,0,3,4.19,6,0,1
Bruce Racine,914,0,0.881,0,0,0,3,3.13,11,0,1
Rob Zepp,501,0,0.888,5,0,0,2,2.89,10,0,1
Rob Zepp,569,0,0.888,5,0,0,2,2.89,10,0,1
Mike Torchia,773,0,0.895,3,0,0,2,3.3,6,0,1
Spencer Martin,201,0,0.924,3,0,0,2,2.58,9,0,1
Allen York,340,0,0.92,3,0,0,2,2.3,11,0,1
Mark Holden,1082,0,0.85,2,0,0,2,4.03,8,0,1
Les Kuntar,873,0,0.877,2,0,0,2,3.18,6,0,1
Connor Ingram,141,0,0.879,1,0,0,2,3.71,3,0,1
Daniel Taylor,418,0,0.893,1,0,0,2,3.63,4,0,1
Don Cutts,1156,0,0.887,1,0,0,2,3.57,6,0,1
Philippe DeRouville,752,0,0.903,1,0,0,2,3.16,3,0,1
Rastislav Stana,604,0,0.89,1,0,0,2,3.12,6,0,1
Lukas Dostal,89,0,0.907,1,0,0,2,2.98,4,0,1
David Littman,880,0,0.794,0,0,0,2,5.95,3,0,1
Bob Parent,1042,0,0.845,0,0,0,2,5.65,3,0,1
Michael Dipietro,115,0,0.771,0,0,0,2,5.25,3,0,1
Tyrone Garner,634,0,0.838,0,0,0,2,5.18,3,0,1
Ken Holland,1123,1,0.825,0,0,0,2,4.96,4,0,1
Brian Finley,556,0,0.851,0,0,0,2,4.7,4,1,1
Marek Schwarz,397,0,0.809,0,0,0,2,4.32,6,0,1
Neil Little,791,0,0.838,0,0,0,2,3.86,2,0,1
Michel Larocque,638,0,0.847,0,0,0,2,3.55,3,0,1
Drew MacIntyre,503,0,0.912,0,0,0,2,2.41,6,0,1
Daniil Tarasov,119,0,0.937,0,0,0,2,2.4,4,0,1
Nolan Schaefer,539,0,0.92,5,0,0,1,1.88,7,0,1
Oscar Dansk,220,0,0.906,4,0,0,1,3.1,6,0,1
Joseph Woll,138,0,0.911,3,0,0,1,2.76,4,0,1
Mike Brodeur,449,0,0.922,3,0,0,1,2.17,7,0,1
Eddie Pasquale,290,0,0.882,2,0,0,1,3.96,3,0,1
Marc Lamothe,748,0,0.88,2,0,0,1,3.24,4,0,1
Antoine Bibeau,214,0,0.907,2,0,0,1,2.54,4,0,1
Dave Tataryn,1201,0,0.767,1,0,0,1,7.5,2,0,1
George Maneluk,868,0,0.84,1,0,0,1,6.43,4,0,1
Dave McLelland,1172,0,0.857,1,0,0,1,5,2,0,1
Chad Erickson,853,0,0.836,1,0,0,1,4.5,2,0,1
Adam Werner,145,0,0.914,1,0,0,1,3.42,2,0,1
Mike Lenarduzzi,801,0,0.899,1,0,0,1,3.18,4,0,1
Mads Sogaard,64,0,0.889,1,0,0,1,3.07,2,0,1
Joel Hofer,90,0,0.88,1,0,0,1,3.07,2,0,1
Paul Skidmore,1089,0,0.878,1,0,0,1,3,2,0,1
Zachary Fucale,197,0,0.924,1,0,0,1,1.75,4,0,1
Ron Loustel,1018,0,0.804,0,0,0,1,10,1,0,1
Paul Hoganson,1207,0,0.75,0,0,0,1,7.35,2,0,1
Jack LaFontaine,139,0,0.78,0,0,0,1,7.2,2,0,1
Adam Huska,169,0,0.821,0,0,0,1,7.04,1,0,1
Shawn MacKenzie,1027,0,0.779,0,0,0,1,6.92,6,0,1
Patrick Labrecque,775,0,0.851,0,0,0,1,4.29,2,0,1
Jason Kasdorf,250,0,0.867,0,0,0,1,4,1,0,1
Matt Underhill,577,0,0.879,0,0,0,1,3.95,1,0,1
Gilles Senn,126,0,0.902,0,0,0,1,3.42,2,0,1
Sami Aittokallio,268,0,0.884,0,0,0,1,3.36,2,0,1
Jordan Willis,736,0,0.929,0,0,0,1,3.2,1,0,1
Brian Eklund,547,0,0.842,0,0,0,1,3.09,1,0,1
Mark Visentin,262,0,0.906,0,0,0,1,3.06,1,0,1
Alain Raymond,965,0,0.9,0,0,0,1,3.06,1,0,1
Tom Askey,726,0,0.894,0,0,0,1,2.64,7,0,1
Claude Legris,1098,0,0.923,0,0,0,1,2.62,4,0,1
Adam Wilcox,255,0,1,0,0,0,1,0,1,0,1
Mike Murphy,320,0,1,0,0,0,1,0,2,0,1
Pyotr Kochetkov,63,0,0.902,3,0,0,0,2.42,3,0,1
Magnus Hellberg,242,0,0.869,2,0,0,0,2.81,5,0,1
Dan LaCosta,403,0,0.953,2,0,0,0,1.42,4,0,1
Mackenzie Skapski,213,0,0.978,2,0,0,0,0.5,2,0,1
Justus Annunen,86,0,0.863,1,0,0,0,4.34,2,0,1
Mike Minard,659,0,0.917,1,0,0,0,3,1,0,1
Thomas McCollum,304,0,0.879,1,0,0,0,2.98,3,0,1
Kristers Gudlevskis,208,0,0.959,1,0,0,0,1.37,3,0,1
Mike Rosati,851,0,1,1,0,0,0,0,1,0,1
Martin Houle,421,0,0.667,0,0,0,0,27.27,1,0,1
Greg Redquest,1090,0,0.7,0,0,0,0,14.08,1,0,1
Mike Greenlay,898,0,0.765,0,0,0,0,11.75,2,0,1
Joacim Eriksson,324,0,0.806,0,0,0,0,9.99,1,0,1
Jerome Mrazek,1188,0,0.5,0,0,0,0,9.55,1,0,1
Hugo Alnefelt,67,0,0.7,0,0,0,0,9,1,0,1
Tyler Bunz,270,0,0.75,0,0,0,0,9,1,0,1
Brent Krahn,525,0,0.667,0,0,0,0,9,1,1,1
Timo Pielmeier,330,0,0.583,0,0,0,0,7.5,1,0,1
Adam Hauser,566,0,0.75,0,0,0,0,7.08,1,0,1
Dylan Ferguson,132,0,0.5,0,0,0,0,6.5,1,0,1
Randy Ireland,1044,0,0.857,0,0,0,0,6.02,2,0,1
Randy Ireland,1068,0,0.857,0,0,0,0,6.02,2,0,1
Kent Simpson,264,0,0.714,0,0,0,0,6,1,0,1
Veini Vehvilainen,102,0,0.75,0,0,0,0,5.63,1,0,1
Dimitri Patzold,500,0,0.8,0,0,0,0,5.51,3,0,1
Brandon Halverson,180,0,0.833,0,0,0,0,4.78,1,0,1
Paxton Schafer,656,0,0.76,0,0,0,0,4.65,3,0,1
Chris Pusey,956,0,0.75,0,0,0,0,4.5,1,0,1
Scott Sharples,897,0,0.9,0,0,0,0,3.69,1,0,1
Mark Dekanich,366,0,0.88,0,0,0,0,3.6,1,0,1
Jeremy Duchesne,383,0,0.75,0,0,0,0,3.59,1,0,1
Matt Zaba,452,0,0.875,0,0,0,0,3.56,1,0,1
Don Sylvestri,1008,0,0.885,0,0,0,0,3.53,3,0,1
Connor Knapp,299,0,0.875,0,0,0,0,3.14,2,0,1
Pauli Jaks,779,0,0.92,0,0,0,0,3,1,0,1
Rick LaFerriere,1015,0,0.947,0,0,0,0,3,1,0,1
Evgeny Konstantinov,562,0,0.833,0,0,0,0,2.94,2,0,1
Scott King,899,0,0.813,0,0,0,0,2.93,2,0,1
Gerald Coleman,451,0,0.882,0,0,0,0,2.77,2,0,1
Chris Beckford-Tseu,441,0,0.889,0,0,0,0,2.25,1,0,1
Parris Duffus,813,0,0.875,0,0,0,0,2.08,1,0,1
Alexander Pechurski,317,0,0.923,0,0,0,0,1.69,1,0,1
Marek Langhamer,237,0,0.944,0,0,0,0,1.35,2,0,1
Tomas Popperle,385,0,0.929,0,0,0,0,1.35,2,0,1
Topias Leinonen,1,0,0,0,0,0,0,0,0,0,1
Niklas Kokko,2,0,0,0,0,0,0,0,0,0,1
Tyler Brennan,3,0,0,0,0,0,0,0,0,0,1
Mason Beaupit,4,0,0,0,0,0,0,0,0,0,1
Sergey Murashov,5,0,0,0,0,0,0,0,0,0,1
Dennis Hildeby,6,0,0,0,0,0,0,0,0,0,1
Cameron Whitehead,7,0,0,0,0,0,0,0,0,0,1
Sergei Ivanov,8,0,0,0,0,0,0,0,0,0,1
Ty Young,9,0,0,0,0,0,0,0,0,0,1
Maxim Mayorov,10,0,0,0,0,0,0,0,0,0,1
Kevin Reidler,11,0,0,0,0,0,0,0,0,0,1
Samuel Jonsson,12,0,0,0,0,0,0,0,0,0,1
Nick Malik,13,0,0,0,0,0,0,0,0,0,1
Emmett Croteau,14,0,0,0,0,0,0,0,0,0,1
Jakub Vondras,15,0,0,0,0,0,0,0,0,0,1
Vyacheslav Buteyets,16,0,0,0,0,0,0,0,0,0,1
Reid Dyck,17,0,0,0,0,0,0,0,0,0,1
Tyler Muszelik,18,0,0,0,0,0,0,0,0,0,1
Domenic Divincentiis,19,0,0,0,0,0,0,0,0,0,1
Ivan Zhigalov,20,0,0,0,0,0,0,0,0,0,1
Sebastian Cossa,21,0,0,0,0,0,0,0,0,1,1
Jesper Wallstedt,22,0,0,0,0,0,0,0,0,0,1
Aleksei Kolosov,23,0,0,0,0,0,0,0,0,0,1
Benjamin Gaudreau,24,0,0,0,0,0,0,0,0,0,1
Patrik Hamrla,25,0,0,0,0,0,0,0,0,0,1
Tristan Lennox,26,0,0,0,0,0,0,0,0,0,1
Jakub Malek,27,0,0,0,0,0,0,0,0,0,1
Talyn Boyko,28,0,0,0,0,0,0,0,0,0,1
Philip Svedeback,29,0,0,0,0,0,0,0,0,0,1
Rasmus Korhonen,30,0,0,0,0,0,0,0,0,0,1
Aku Koskenvuo,31,0,0,0,0,0,0,0,0,0,1
Gage Alexander,32,0,0,0,0,0,0,0,0,0,1
Kirill Gerasimyuk,33,0,0,0,0,0,0,0,0,0,1
Semyon Vyazovoi,34,0,0,0,0,0,0,0,0,0,1
Chase Clark,35,0,0,0,0,0,0,0,0,0,1
Vyacheslav Peksa,36,0,0,0,0,0,0,0,0,0,1
Nikita Quapp,37,0,0,0,0,0,0,0,0,0,1
Yegor Naumov,38,0,0,0,0,0,0,0,0,0,1
Arsenii Sergeev,39,0,0,0,0,0,0,0,0,0,1
Joe Vrbetic,40,0,0,0,0,0,0,0,0,0,1
Carl Lindbom,41,0,0,0,0,0,0,0,0,0,1
Iaroslav Askarov,42,0,0,0,0,0,0,0,0,1,1
Drew Commesso,43,0,0,0,0,0,0,0,0,0,1
Joel Blomqvist,44,0,0,0,0,0,0,0,0,0,1
Leevi Merilainen,45,0,0,0,0,0,0,0,0,0,1
Calle Clang,46,0,0,0,0,0,0,0,0,0,1
Daniil Chechelev,48,0,0,0,0,0,0,0,0,0,1
Dylan Garand,49,0,0,0,0,0,0,0,0,0,1
Artur Akhtyamov,50,0,0,0,0,0,0,0,0,0,1
Jan Bednar,51,0,0,0,0,0,0,0,0,0,1
Juho Markkanen,52,0,0,0,0,0,0,0,0,0,1
Jesper Vikman,53,0,0,0,0,0,0,0,0,0,1
Jakub Dobes,54,0,0,0,0,0,0,0,0,0,1
Will Cranley,55,0,0,0,0,0,0,0,0,0,1
Garin Bjorklund,56,0,0,0,0,0,0,0,0,0,1
Remi Poirier,57,0,0,0,0,0,0,0,0,0,1
Amir Miftakhov,58,0,0,0,0,0,0,0,0,0,1
Hugo Ollas,59,0,0,0,0,0,0,0,0,0,1
Devon Levi,60,0,0,0,0,0,0,0,0,0,1
Henrik Tikkanen,61,0,0,0,0,0,0,0,0,0,1
Hunter Jones,65,0,0,0,0,0,0,0,0,0,1
Erik Portillo,66,0,0,0,0,0,0,0,0,0,1
Ilya Konovalov,68,0,0,0,0,0,0,0,0,0,1
Lukas Parik,69,0,0,0,0,0,0,0,0,0,1
Colten Ellis,70,0,0,0,0,0,0,0,0,0,1
Cole Brady,71,0,0,0,0,0,0,0,0,0,1
Isaiah Saville,72,0,0,0,0,0,0,0,0,0,1
Frederik Nissen Dichow,73,0,0,0,0,0,0,0,0,0,1
Logan Neaton,74,0,0,0,0,0,0,0,0,0,1
Ethan Haider,75,0,0,0,0,0,0,0,0,0,1
Arturs Silovs,76,0,0,0,0,0,0,0,0,0,1
Dominic Basse,77,0,0,0,0,0,0,0,0,0,1
Roddy Ross,78,0,0,0,0,0,0,0,0,0,1
Carter Gylander,79,0,0,0,0,0,0,0,0,0,1
Filip Lindberg,80,0,0,0,0,0,0,0,0,0,1
Trent Miner,81,0,0,0,0,0,0,0,0,0,1
Vadim Zherenko,82,0,0,0,0,0,0,0,0,0,1
Dustin Wolf,83,0,0,0,0,0,0,0,0,0,1
Olof Lindbom,84,0,0,0,0,0,0,0,0,0,1
Olivier Rodrigue,85,0,0,0,0,0,0,0,0,0,1
Jakub Skarek,87,0,0,0,0,0,0,0,0,0,1
Jesper Eliasson,88,0,0,0,0,0,0,0,0,0,1
Mitchell Gibson,92,0,0,0,0,0,0,0,0,0,1
Samuel Ersson,94,0,0,0,0,0,0,0,0,0,1
David Hrenak,95,0,0,0,0,0,0,0,0,0,1
Roman Durny,96,0,0,0,0,0,0,0,0,0,1
Magnus Chrona,97,0,0,0,0,0,0,0,0,0,1
Kevin Mandolese,98,0,0,0,0,0,0,0,0,0,1
David Tendeck,99,0,0,0,0,0,0,0,0,0,1
Victor Brattstrom,100,0,0,0,0,0,0,0,0,0,1
Alexis Gravel,101,0,0,0,0,0,0,0,0,0,1
Jacob Ingham,103,0,0,0,0,0,0,0,0,0,1
Zachary Emond,104,0,0,0,0,0,0,0,0,0,1
Jared Moe,105,0,0,0,0,0,0,0,0,0,1
Matthew Thiessen,106,0,0,0,0,0,0,0,0,0,1
Jacob Kucharski,107,0,0,0,0,0,0,0,0,0,1
Shamil Shmakov,108,0,0,0,0,0,0,0,0,0,1
Jordan Kooy,109,0,0,0,0,0,0,0,0,0,1
Zachary Bouthillier,110,0,0,0,0,0,0,0,0,0,1
Milan Kloucek,111,0,0,0,0,0,0,0,0,0,1
Ty Taylor,112,0,0,0,0,0,0,0,0,0,1
Matt Villalta,116,0,0,0,0,0,0,0,0,0,1
Kirill Ustimenko,118,0,0,0,0,0,0,0,0,0,1
Keith Petruzzelli,120,0,0,0,0,0,0,0,0,0,1
Maksim Zhukov,121,0,0,0,0,0,0,0,0,0,1
Eetu Makiniemi,122,0,0,0,0,0,0,0,0,0,1
Ian Scott,123,0,0,0,0,0,0,0,0,0,1
Petr Kvaca,125,0,0,0,0,0,0,0,0,0,1
Olle Eriksson Ek,127,0,0,0,0,0,0,0,0,0,1
Tomas Vomacka,128,0,0,0,0,0,0,0,0,0,1
Jiri Patera,129,0,0,0,0,0,0,0,0,0,1
Arvid Holm,130,0,0,0,0,0,0,0,0,0,1
Jordan Hollett,131,0,0,0,0,0,0,0,0,0,1
Tyler Parsons,135,0,0,0,0,0,0,0,0,0,1
Evan Fitzpatrick,137,0,0,0,0,0,0,0,0,0,1
Wouter Peeters,140,0,0,0,0,0,0,0,0,0,1
Evan Cormier,142,0,0,0,0,0,0,0,0,0,1
