PlayerName,Number_Identifier,Hall.Of.Famer,save_percentage,goalie_wins,X100..Wins,X350..Wins,goalie_losses,goals_against_average,goalie_games_played,Top15Pick,Cluster
Kari Takko,934,0,0.878,37,0,0,71,3.9,142,0,1
Kari Takko,1010,0,0.878,37,0,0,71,3.9,142,0,1
Jhonas Enroth,351,0,0.909,50,0,0,69,2.84,153,0,1
Tommy Soderstrom,816,0,0.884,45,0,0,69,3.63,156,0,1
Milan Hnilicka,772,0,0.9,29,0,0,67,3.31,121,0,1
Kay Whitmore,908,0,0.875,60,0,0,64,3.55,155,0,1
Corey Schwab,814,0,0.896,42,0,0,63,2.89,147,0,1
Mike Veisor,1166,0,0.88,41,0,0,62,4.09,139,0,1
Pat Jablonski,920,0,0.879,28,0,0,62,3.74,128,0,1
Carter Hart,134,0,0.905,62,0,0,61,2.97,146,0,1
Louis Domingue,272,0,0.905,59,0,0,60,3.04,142,0,1
Josh Harding,462,0,0.918,60,0,0,59,2.45,151,0,1
Frank Pietrangelo,950,0,0.873,46,0,0,59,4.12,141,0,1
Paul Harrison,1105,0,0.864,28,0,0,59,4.23,109,0,1
Corrado Micalef,991,0,0.856,26,0,0,59,4.25,113,0,1
Anders Lindback,325,0,0.904,45,0,0,58,2.87,130,0,1
Wade Flaherty,856,0,0.887,27,0,0,56,3.51,120,0,1
Michael Hutchinson,309,0,0.905,55,0,0,55,2.79,137,0,1
Rick St. Croix,1109,0,0.875,49,0,0,54,3.74,131,0,1
Pasi Nurminen,513,0,0.904,48,0,0,54,2.89,125,0,1
Calvin Pickard,263,0,0.903,35,0,0,54,3.04,116,0,1
Thatcher Demko,177,0,0.912,67,0,0,53,2.84,136,0,1
Mackenzie Blackwood,153,0,0.907,55,0,0,51,2.94,130,0,1
Alex Stalock,381,0,0.908,61,0,0,50,2.64,152,0,1
Sebastien Caron,567,0,0.892,26,0,0,48,3.44,95,0,1
Jussi Markkanen,505,0,0.901,43,0,0,47,2.7,128,0,1
Curt Ridley,1182,0,0.872,27,0,0,47,3.88,104,0,1
Eric Fichaud,679,0,0.897,22,0,0,47,3.14,95,0,1
Anton Forsberg,258,0,0.909,37,0,0,46,3.03,102,0,1
Frank Caprice,1007,0,0.859,31,0,0,46,4.2,102,0,1
Markus Mattsson,1074,0,0.867,21,0,0,46,4.13,92,0,1
Fredrik Norrena,483,0,0.899,35,0,0,45,2.79,100,0,1
Corey Hirsch,782,0,0.896,34,0,0,45,3.13,108,0,1
Elvis Merzlikins,182,0,0.913,48,0,0,44,2.88,120,0,1
Steve Passmore,759,0,0.895,23,0,0,44,2.79,93,0,1
Michael Leighton,576,0,0.9,37,0,0,43,2.97,110,0,1
Scott Darling,338,0,0.908,54,0,0,42,2.72,126,0,1
Mikael Tellqvist,529,0,0.898,45,0,0,41,3.01,113,0,1
Laurent Brossoit,253,0,0.905,42,0,0,41,2.84,106,0,1
Jimmy Waite,862,0,0.871,28,0,0,41,3.35,106,1,1
Darren Eliot,1019,0,0.85,24,0,0,41,4.62,88,0,1
Jim Bedard,1094,0,0.872,17,0,0,40,3.95,73,0,1
Jack Campbell,261,0,0.916,71,0,0,39,2.53,135,1,1
Calvin Petersen,209,0,0.908,39,0,0,39,2.83,91,0,1
Stephane Beauregard,842,0,0.879,19,0,0,39,3.65,90,0,1
Steve Penney,1026,0,0.859,35,0,0,38,3.63,91,0,1
Marco Baron,1038,0,0.865,34,0,0,38,3.64,86,0,1
Justin Peters,400,0,0.901,25,0,0,38,3.08,83,0,1
Peter Ing,840,0,0.878,20,0,0,37,4.05,74,0,1
Dave Parro,1064,0,0.876,21,0,0,36,4.1,77,0,1
Reto Berra,357,0,0.905,20,0,0,36,2.85,76,0,1
Tim Bernhardt,1041,0,0.866,17,0,0,36,4.29,67,0,1
Michel Belhumeur,1205,0,0.874,9,0,0,36,4.62,65,0,1
Johan Holmqvist,622,0,0.89,48,0,0,34,2.99,99,0,1
Malcolm Subban,219,0,0.898,36,0,0,33,3.1,86,0,1
Scott Wedgewood,265,0,0.906,23,0,0,33,3.1,77,0,1
Jean-Claude Bergeron,848,0,0.866,21,0,0,33,3.69,72,0,1
Norm Maracle,721,0,0.897,14,0,0,33,3.1,66,0,1
Adin Hill,156,0,0.908,29,0,0,32,2.74,74,0,1
Jeff Deslauriers,460,0,0.901,23,0,0,32,3.24,62,0,1
Mika Noronen,610,0,0.901,23,0,0,32,2.68,71,0,1
Dustin Tokarski,315,0,0.902,22,0,0,32,3.14,76,0,1
Dan Blackburn,491,0,0.894,20,0,0,32,3.24,63,1,1
Karel Vejmelka,163,0,0.898,13,0,0,32,3.68,52,0,1
Alex Nedeljkovic,178,0,0.909,37,0,0,31,2.86,88,0,1
Jim Hrivnak,889,0,0.877,34,0,0,30,3.73,85,0,1
Igor Shesterkin,189,0,0.928,62,0,0,29,2.31,100,0,1
Troy Gamble,907,0,0.875,22,0,0,29,3.61,72,0,1
Ed Dyck,1192,0,0.859,8,0,0,28,4.36,49,0,1
Bill Oleschuk,1113,0,0.872,7,0,0,28,3.98,55,0,1
Jarmo Myllys,876,0,0.859,4,0,0,27,5.23,39,0,1
Sam Montembeault,157,0,0.892,17,0,0,26,3.54,63,0,1
Vincent Tremblay,1036,0,0.865,12,0,0,26,4.81,58,0,1
Jani Hurme,615,0,0.906,29,0,0,25,2.61,76,0,1
Kevin Poulin,316,0,0.899,18,0,0,25,3.07,50,0,1
Dany Sabourin,595,0,0.898,18,0,0,25,2.88,57,0,1
Jason Muzzatti,838,0,0.894,13,0,0,25,3.33,62,0,1
Andrei Trefilov,795,0,0.897,12,0,0,25,3.45,54,0,1
Ilya Sorokin,183,0,0.923,39,0,0,24,2.33,74,0,1
Hannu Toivonen,459,0,0.89,18,0,0,24,3.37,61,0,1
Jake Oettinger,113,0,0.913,41,0,0,23,2.46,77,0,1
Kaapo Kahkonen,186,0,0.908,33,0,0,23,2.88,65,0,1
Chris Driedger,225,0,0.917,30,0,0,23,2.45,65,0,1
Andre Racicot,824,0,0.88,26,0,0,23,3.5,68,0,1
Robb Stauber,893,0,0.89,21,0,0,23,3.81,62,0,1
Tom Draper,923,0,0.877,19,0,0,23,3.7,53,0,1
Ilya Samsonov,152,0,0.902,52,0,0,22,2.81,89,0,1
Vitek Vanecek,179,0,0.908,41,0,0,22,2.68,79,0,1
Rob Holland,1069,0,0.861,11,0,0,22,4.09,44,0,1
