Player Name,Number_Identifier,games_played,goals,assists,points,Points.Per.Game,Hall.Of.Famer,X100..Games..Player.,X500..Games..Player.,X1000..Games..Player.,X500..Points,X1000..Points,Top15Pick,Cluster
Mario Lemieux,8257,915,690,1033,1723,1.883060109,1,1,1,0,1,1,1,3
Mike Bossy,9661,752,573,553,1126,1.497340426,1,1,1,0,1,1,1,3
Marcel Dionne,10634,1348,731,1040,1771,1.31379822,1,1,1,1,1,1,1,3
Sidney Crosby,3265,1108,517,892,1409,1.27166065,0,1,1,1,1,1,1,3
Peter Forsberg,6647,708,249,636,885,1.25,1,1,1,0,1,0,1,3
Guy Lafleur,10633,1126,560,793,1353,1.201598579,1,1,1,1,1,1,1,3
Joe Sakic,7581,1378,625,1016,1641,1.190856313,1,1,1,1,1,1,1,3
Dale Hawerchuk,8942,1188,518,891,1409,1.186026936,1,1,1,1,1,1,1,3
Pat LaFontaine,8490,865,468,545,1013,1.171098266,1,1,1,0,1,1,1,3
Evgeni Malkin,3473,981,444,702,1146,1.168195719,0,1,1,0,1,1,1,3
Steve Yzerman,8491,1514,692,1063,1755,1.159180978,1,1,1,1,1,1,1,3
Eric Lindros,6642,760,372,493,865,1.138157895,1,1,1,0,1,0,1,3
Bernie Federko,9814,1000,369,761,1130,1.13,1,1,1,1,1,1,1,3
Denis Savard,9130,1196,473,865,1338,1.118729097,1,1,1,1,1,1,1,3
Jari Kurri,9193,1251,601,797,1398,1.117505995,1,1,1,1,1,1,0,3
Bryan Trottier,10142,1279,524,901,1425,1.114151681,1,1,1,1,1,1,0,3
Gilbert Perreault,10741,1191,512,814,1326,1.113350126,1,1,1,1,1,1,1,3
Jaromir Jagr,6881,1733,766,1155,1921,1.1084824,0,1,1,1,1,1,1,3
Alex Ovechkin,3472,1274,780,630,1410,1.106750392,0,1,1,1,1,1,1,3
Brett Hull,8362,1269,741,650,1391,1.096138692,1,1,1,1,1,1,0,3
Paul Coffey,9133,1409,396,1135,1531,1.086586231,1,1,1,1,1,1,1,3
Mark Messier,9365,1756,694,1193,1887,1.074601367,1,1,1,1,1,1,0,3
Bernie Nicholls,9197,1127,475,734,1209,1.072759539,0,1,1,1,1,1,0,3
Patrick Kane,2887,1107,430,750,1180,1.065943993,0,1,1,1,1,1,1,3
Michel Goulet,9340,1089,548,605,1153,1.058769513,1,1,1,1,1,1,0,3
Bobby Clarke,10859,1144,358,852,1210,1.057692308,1,1,1,1,1,1,0,3
Steven Stamkos,2699,922,481,491,972,1.054229935,0,1,1,0,1,0,1,3
Alexander Mogilny,7418,990,473,559,1032,1.042424242,0,1,1,0,1,1,0,3
Ron Francis,8945,1731,549,1249,1798,1.03870595,1,1,1,1,1,1,1,3
Pierre Turgeon,7568,1294,515,812,1327,1.025502318,0,1,1,1,1,1,1,3
Darryl Sittler,10747,1096,484,637,1121,1.022810219,1,1,1,1,1,1,1,3
Pierre Larouche,10128,812,395,427,822,1.012315271,0,1,1,0,1,0,1,3
Steve Larmer,9239,1006,441,571,1012,1.005964215,0,1,1,1,1,1,0,3
Teemu Selanne,7349,1451,684,773,1457,1.004135079,1,1,1,1,1,1,1,3
Theoren Fleury,7719,1084,455,633,1088,1.003690037,0,1,1,1,1,1,0,3
Mats Sundin,7108,1346,564,785,1349,1.002228826,1,1,1,1,1,1,1,3
Paul Kariya,6155,989,402,587,989,1,1,1,1,0,1,0,1,3
Denis Potvin,10342,1060,310,742,1052,0.99245283,1,1,1,1,1,1,1,3
Dennis Maruk,9948,888,356,522,878,0.988738739,0,1,1,0,1,0,0,3
Brian Propp,9334,1016,425,579,1004,0.988188976,0,1,1,1,1,1,1,3
Rick Middleton,10353,1005,448,540,988,0.983084577,0,1,1,1,1,0,1,3
Raymond Bourque,9328,1612,410,1169,1579,0.979528536,1,1,1,1,1,1,1,3
Bill Barber,10503,903,420,463,883,0.977851606,1,1,1,0,1,0,1,3
Luc Robitaille,8414,1431,668,726,1394,0.974143955,1,1,1,1,1,1,0,3
Glenn Anderson,9383,1129,498,601,1099,0.973427812,1,1,1,1,1,1,0,3
Pavel Datsyuk,5163,953,314,604,918,0.963273872,0,1,1,0,1,0,0,3
Dave Taylor,10113,1111,431,638,1069,0.96219622,0,1,1,1,1,1,0,3
Bobby Smith,9437,1077,357,679,1036,0.961931291,0,1,1,1,1,1,1,3
Doug Gilmour,8834,1474,450,964,1414,0.959294437,1,1,1,1,1,1,0,3
Nicklas Backstrom,3081,1058,264,747,1011,0.95557656,0,1,1,1,1,1,1,3
Ilya Kovalchuk,4251,926,443,433,876,0.94600432,0,1,1,0,1,0,1,3
