Player Name,Number_Identifier,games_played,goals,assists,points,Points.Per.Game,Hall.Of.Famer,X100..Games..Player.,X500..Games..Player.,X1000..Games..Player.,X500..Points,X1000..Points,Top15Pick,Cluster
Connor McDavid,1376,487,239,458,697,1.431211499,0,1,0,0,1,0,1,2
Kent Nilsson,9869,553,264,422,686,1.240506329,0,1,1,0,1,0,0,2
Pavel Bure,7208,702,437,342,779,1.10968661,1,1,1,0,1,0,0,2
Leon Draisaitl,1565,558,254,362,616,1.103942652,0,1,1,0,1,0,1,2
Nikita Kucherov,2183,562,246,370,616,1.096085409,0,1,1,0,1,0,0,2
Mike Rogers,10195,484,202,317,519,1.07231405,0,1,0,0,1,0,0,2
Mitchell Marner,1379,427,138,317,455,1.06557377,0,1,0,0,0,0,1,2
Ziggy Palffy,6667,684,329,384,713,1.042397661,0,1,1,0,1,0,0,2
Rick Martin,10637,685,384,317,701,1.023357664,0,1,1,0,1,0,1,2
Nathan MacKinnon,1752,638,242,406,648,1.015673981,0,1,1,0,1,0,1,2
John Gaudreau,2226,602,210,399,609,1.011627907,0,1,1,0,1,0,0,2
Charlie Simmer,10159,712,342,369,711,0.998595506,0,1,1,0,1,0,0,2
Guy Chouinard,10148,578,205,370,575,0.994809689,0,1,1,0,1,0,0,2
David Pastrnak,1587,510,240,264,504,0.988235294,0,1,1,0,1,0,0,2
Craig Janney,7806,760,188,563,751,0.988157895,0,1,1,0,1,0,1,2
Anton Stastny,9396,650,252,384,636,0.978461538,0,1,1,0,1,0,0,2
Anton Stastny,9613,650,252,384,636,0.978461538,0,1,1,0,1,0,0,2
Mats Naslund,9355,651,251,383,634,0.973886329,0,1,1,0,1,0,0,2
Cam Neely,8495,726,395,299,694,0.955922865,1,1,1,0,1,0,1,2
Paul MacLean,9538,719,324,349,673,0.936022253,0,1,1,0,1,0,0,2
Barry Pederson,9145,701,238,416,654,0.932952924,0,1,1,0,1,0,0,2
Aleksander Barkov,1753,596,220,333,553,0.927852349,0,1,1,0,1,0,1,2
Mike Bullard,9136,727,329,345,674,0.927097662,0,1,1,0,1,0,1,2
Jonathan Huberdeau,2131,671,198,415,613,0.913561848,0,1,1,0,1,0,1,2
Walt Poddubny,9214,468,184,238,422,0.901709402,0,1,0,0,0,0,0,2
Mark Scheifele,2135,642,230,347,577,0.898753894,0,1,1,0,1,0,1,2
Dale McCourt,9647,532,194,284,478,0.898496241,0,1,1,0,0,0,1,2
Jimmy Carson,7795,626,275,286,561,0.896166134,0,1,1,0,1,0,1,2
Alex Zhamnov,6948,807,249,470,719,0.890954151,0,1,1,0,1,0,0,2
Bengt-Ake Gustafsson,9489,629,195,359,554,0.880763116,0,1,1,0,1,0,0,2
Mark Stone,2481,541,179,297,476,0.879852126,0,1,1,0,0,0,0,2
Jason Allison,6167,552,154,331,485,0.878623188,0,1,1,0,0,0,0,2
Thomas Gradin,9852,677,209,384,593,0.875923191,0,1,1,0,1,0,0,2
Marc Savard,5769,807,207,499,706,0.874845105,0,1,1,0,1,0,0,2
Patrik Sundstrom,9287,679,219,369,588,0.865979381,0,1,1,0,1,0,0,2
Vladimir Tarasenko,2335,606,252,272,524,0.864686469,0,1,1,0,1,0,0,2
Taylor Hall,2321,761,248,409,657,0.863337714,0,1,1,0,1,0,1,2
Paul Reinhart,9332,648,133,426,559,0.862654321,0,1,1,0,1,0,1,2
Blaine Stoughton,10347,526,258,191,449,0.853612167,0,1,1,0,0,0,1,2
Tim Young,9944,629,195,341,536,0.852146264,0,1,1,0,1,0,0,2
Dan Quinn,8499,805,266,419,685,0.850931677,0,1,1,0,1,0,1,2
Wayne Babych,9439,519,192,246,438,0.843930636,0,1,1,0,0,0,1,2
Steve Vickers,10642,698,246,340,586,0.839541547,0,1,1,0,1,0,1,2
Syl Apps,11009,727,183,423,606,0.833562586,1,1,1,0,1,0,0,2
Pierre Mondou,9943,548,194,262,456,0.832116788,0,1,1,0,0,0,1,2
Tyler Seguin,2322,825,305,381,686,0.831515152,0,1,1,0,1,0,1,2
Jim Fox,9137,578,186,293,479,0.828719723,0,1,1,0,0,0,1,2
Filip Forsberg,1952,566,220,249,469,0.828621908,0,1,1,0,0,0,1,2
Danny Gare,10149,827,354,331,685,0.828295042,0,1,1,0,1,0,0,2
Evgeny Kuznetsov,2345,599,153,343,496,0.828046745,0,1,1,0,0,0,0,2
Brian Sutter,9827,779,303,333,636,0.816431322,0,1,1,0,1,0,0,2
